Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,1067.0,8.0,98.0,3601.0,0.1,35.95999999999998,0.0,0.0,755.4897754192352,,,,,,,,,,,,,,,,,,,,,12.426343473139296,9.678073517438989,34.811807142109444,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1100.0,9.0,33.0,3634.0,0.1,9.759999999999993,0.0,0.0,759.0325057506561,,,,,,,,,,,,,,,,,,,,,2.5367571462627097,2.9360984137716124,9.695668655816307,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,1200.0,10.0,100.0,3734.0,0.1,27.66000000000002,0.0,0.0,768.5769865512848,,,,,,,,,,,,,,,,,,,,,10.017681763468635,7.416627085139366,26.711628368762295,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1242.0,11.0,42.0,3776.0,0.1,11.199999999999989,0.0,0.0,772.6469011306763,,,,,,,,,,,,,,,,,,,,,2.701944041286662,3.242860946752908,11.108724690923113,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1432.0,12.0,190.0,3966.0,0.1,54.37000000000011,0.0,0.0,790.7045710086823,,,,,,,,,,,,,,,,,,,,,22.623210089911137,13.450630388639324,50.171883678389996,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1603.0,13.0,171.0,4137.0,0.1,51.85000000000014,0.0,0.0,807.1935648918152,,,,,,,,,,,,,,,,,,,,,18.478241238567232,13.655892803360093,48.78774745536827,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1819.0,14.0,216.0,4353.0,0.1,74.95999999999987,0.0,0.0,827.9210131168365,,,,,,,,,,,,,,,,,,,,,33.21433012532356,22.403359143735127,67.92147973091222,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,2480.0,15.0,661.0,5014.0,0.1,224.41999999999842,0.0,0.0,891.2528963088989,,,,,,,,,,,,,,,,,,,,,86.59228785648564,52.03333270997008,167.51736493937685,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,2604.0,16.0,124.0,5138.0,0.1,54.85,0.0,0.0,902.7830209732056,,,,,,,,,,,,,,,,,,,,,22.319485897067427,14.929308251734367,52.1867049720027,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2658.0,17.0,54.0,5192.0,0.1,22.45000000000001,0.0,0.0,907.9808688163757,,,,,,,,,,,,,,,,,,,,,7.593114389311661,6.73152857607544,22.084117974808816,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2711.0,18.0,53.0,5245.0,0.1,12.469999999999983,0.0,0.0,913.3001503944397,,,,,,,,,,,,,,,,,,,,,3.2333926621658176,3.29955742247119,12.32326439442967,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,2969.0,19.0,258.0,5503.0,0.1,92.0599999999998,0.0,0.0,938.0663595199585,,,,,,,,,,,,,,,,,,,,,33.12013765257727,25.7837500102504,83.68228537409789,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,3196.0,20.0,227.0,5730.0,0.1,101.46000000000008,0.0,0.0,960.1811861991882,,,,,,,,,,,,,,,,,,,,,44.51201578943295,27.932872460155412,91.53875839382809,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,497.0,1.0,497.0,6227.0,0.1,177.87999999999877,0.0,0.0,1527.8112490177155,,,,,,,,,,,,,,,,,,,,,63.0642146651845,36.52100940028355,146.8305996801638,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,632.0,2.0,135.0,6362.0,0.1,58.66,0.0,0.0,1540.9440457820892,,,,,,,,,,,,,,,,,,,,,25.232642403181895,16.74869362149716,55.3642664441924,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,956.0,3.0,324.0,6686.0,0.1,93.75000000000034,0.0,0.0,1571.4001095294952,,,,,,,,,,,,,,,,,,,,,42.701645873501406,23.50024248042213,80.07473613451842,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,1262.0,4.0,306.0,6992.0,0.1,113.55000000000018,0.0,0.0,1600.5946161746979,,,,,,,,,,,,,,,,,,,,,51.93271315409052,30.423102578694607,97.85420032129058,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,1445.0,5.0,183.0,7175.0,0.1,72.09999999999997,0.0,0.0,1618.4641852378845,,,,,,,,,,,,,,,,,,,,,25.518413550871227,20.38512364237404,67.56519314128003,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1680.0,6.0,235.0,7410.0,0.1,90.67000000000004,0.0,0.0,1641.0042023658752,,,,,,,,,,,,,,,,,,,,,39.053757197408984,24.620049744573578,81.65559659620477,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1816.0,7.0,136.0,7546.0,0.1,57.97000000000002,0.0,0.0,1653.8497445583344,,,,,,,,,,,,,,,,,,,,,25.40611164717633,17.380803601612914,54.623962116254425,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1971.0,8.0,155.0,7701.0,0.1,45.670000000000165,0.0,0.0,1668.94140458107,,,,,,,,,,,,,,,,,,,,,14.433551981772213,11.492634060222356,43.51979551405786,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,2029.0,9.0,58.0,7759.0,0.1,14.259999999999987,0.0,0.0,1674.5198142528534,,,,,,,,,,,,,,,,,,,,,5.237281412887078,3.983744604693383,13.984192078016505,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,2061.0,10.0,32.0,7791.0,0.1,8.759999999999996,0.0,0.0,1677.708374261856,,,,,,,,,,,,,,,,,,,,,2.6856099809820577,2.9436105332292968,8.691434658490898,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,2197.0,11.0,136.0,7927.0,0.1,60.5600000000001,0.0,0.0,1690.9391210079193,,,,,,,,,,,,,,,,,,,,,21.754755922695754,16.569146077749693,57.71672893565578,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,2269.0,12.0,72.0,7999.0,0.1,27.990000000000027,0.0,0.0,1697.9613099098206,,,,,,,,,,,,,,,,,,,,,9.495881864082294,8.698099508814998,27.36099112704906,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,2326.0,13.0,57.0,8056.0,0.1,17.46000000000001,0.0,0.0,1703.4676661491394,,,,,,,,,,,,,,,,,,,,,6.370193362741809,5.460663718282426,17.131144135450484,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,2663.0,14.0,337.0,8393.0,0.1,120.85000000000021,0.0,0.0,1735.7300357818604,,,,,,,,,,,,,,,,,,,,,54.356958951542076,28.090166015273155,102.7370762487516,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,3292.0,15.0,629.0,9022.0,0.1,222.84999999999843,0.0,0.0,1795.1181762218475,,,,,,,,,,,,,,,,,,,,,87.83048529757697,46.05105762123495,167.94033748245167,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,3556.0,16.0,264.0,9286.0,0.1,101.20000000000023,0.0,0.0,1819.9077944755554,,,,,,,,,,,,,,,,,,,,,40.09547680548951,26.712200170065504,90.79629591889267,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,3819.0,17.0,263.0,9549.0,0.1,119.07000000000009,0.0,0.0,1845.00958943367,,,,,,,,,,,,,,,,,,,,,48.615915721997304,32.162697522540874,106.49690147115558,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,3891.0,18.0,72.0,9621.0,0.1,15.079999999999975,0.0,0.0,1851.9739871025085,,,,,,,,,,,,,,,,,,,,,4.401409558030688,3.907129735695493,14.792669057267268,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,4077.0,19.0,186.0,9807.0,0.1,62.07000000000013,0.0,0.0,1869.5875790119171,,,,,,,,,,,,,,,,,,,,,24.53664866691066,16.28050590469378,57.621368463513164,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,4314.0,20.0,237.0,10044.0,0.1,98.54000000000006,0.0,0.0,1891.9598019123077,,,,,,,,,,,,,,,,,,,,,36.034859981907054,27.875798563871385,90.1800080203207,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
